Energy,CalcType,AtomIndex,DChargeRHigh,DChargeRLow,DChargeRCenter,PChargeRHigh,PChargeRLow,PChargeRCenter,DMagP,PMagP
-429.22488,Chi0,5,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi0,6,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi0,7,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi0,8,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi0,9,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi0,10,1.929,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi0,11,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi0,12,1.928,1.931,1.93,6.452,6.453,6.452,0,0
-429.22488,Chi0,13,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi0,14,1.929,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi0,15,1.928,1.931,1.93,6.452,6.453,6.452,0,0
-429.22488,Chi0,16,1.93,1.93,1.93,6.452,6.452,6.452,0,0
-429.22488,Chi0,17,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi0,18,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi0,19,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi0,20,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi0,21,0,0,0,3.486,3.497,3.492,0,0
-429.22488,Chi0,22,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi0,23,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi0,24,0,0,0,3.487,3.497,3.492,0,0
-429.22488,Chi0,25,0,0,0,3.492,3.492,3.492,0,0
-429.22488,Chi0,26,0,0,0,3.492,3.492,3.492,0,0
